;humorvoll;;;;;adjektive;;humoros, tréfás
;witzig;;;;;adjektive;;vicces, szellemes
;betrübt;;;;;adjektive;;szomorú, bánatos
;traurig;;;;;adjektive;;szomorú, bús
;trübsinnig;;;;;adjektive;;búskomor
;temperamentvoll;;;;;adjektive;;temperamentumos
;energisch;;;;;adjektive;;erélyes, energikus
;schwungvoll;;;;;adjektive;;lendületes
;dynamisch;;;;;adjektive;;dinamikus
;lebhaft;;;;;adjektive;;élénk, életrevaló
;beweglich;;;;;adjektive;;mozgékony, mozgatható
;aktiv;;;;;adjektive;;aktív, tevékeny
;unternehmungsfreudig;;;;;adjektive;;vállalkozó szellemû
;risikofreudig;;;;;adjektive;;kockázatos
;neugirig;;;;;adjektive;;kíváncsi
;tapfer;;;;;adjektive;;derék, bátor
;mutig;;;;;adjektive;;bátor, merész
;gewagt;;;;;adjektive;;merész
;wagemutig;;;;;adjektive;;merész, vakmerõ
;kühn;;;;;adjektive;;merész, vakmerõ
;tollkühn;;;;;adjektive;;vakmerõ
;ruhig;;;;;adjektive;;nyugodt
;diszipliniert;;;;;adjektive;;fegyelmezett
;ausgeglichen;;;;;adjektive;;kiegyensúlyozott
;friedliebend;;;;;adjektive;;békeszeretõ
;zurückhaltend;;;;;adjektive;;tartózkodó
;scheu;;;;;adjektive;;félénk, bátortalan
;schüchtern;;;;;adjektive;;félénk, bátortalan
;vorsichtig;;;;;adjektive;;óvatos, elõvigyázatos
die;Fassung;en;;;;nomen;;felfogás, nyugalom
;redselig;;;;;adjektive;;beszédes, bõbeszédû
;gesprächig;;;;;adjektive;;társasági, beszédes
;geschwätzig;;;;;adjektive;;szószátyár
;still;;;;;adjektive;;csendes, nyugodt
;schweigsam;;;;;adjektive;;szótlan, hallgatag
;wortkarg;;;;;adjektive;;szófukar, szûkszavú
;ungeduldig;;;;;adjektive;;türelmetlen
;unruhig;;;;;adjektive;;nyugtalan
;nervös;;;;;adjektive;;ideges
;schnell;;;;;adjektive;;gyors
;frech;;;;;adjektive;;szemtelen, pimasz
;streitsüchtig;;;;;adjektive;;veszekedõs, kötekedõ
;aggressiv;;;;;adjektive;;agresszív, erõszakos
;aufdringlich;;;;;adjektive;;erõszakos, sûrgetõ, tolakodó
;draufgängerisch;;;;;adjektive;;rámenõs, nyomulós
;alle;;;;;adjektive;;minden
;selbstsicher;;;;;adjektive;;magabiztos
;hartnäckig;;;;;adjektive;;makacs, konok
;nachlässig;;;;;adjektive;;hanyag
;optimistisch;;;;;adjektive;;optimista, bizakodó
;pessimistisch;;;;;adjektive;;pesszimista, borúlátó
;skeptisch;;;;;adjektive;;szkeptikus, kételkedõ
;romantisch;;;;;adjektive;;romantikus
;nüchtern;;;;;adjektive;;józan
;sachlich;;;;;adjektive;;tárgyilagos, objektív
;träumerisch;;;;;adjektive;;álmodozó
;realistisch;;;;;adjektive;;realista, gyakorlatias
;großzügig;;;;;adjektive;;nagylelkû, bõkezû
;freigebig;;;;;adjektive;;adakozó, bõkezû
;sparsam;;;;;adjektive;;takarékos
;geizig;;;;;adjektive;;fukar
;geldgierig;;;;;adjektive;;pénzsóvár, kapzsi
;verschwenderisch;;;;;adjektive;;pazarló, költekezõ
;leichtsinnig;;;;;adjektive;;könnyelmû
;kleinlich;;;;;adjektive;;kicsinyes
der;Geizhals;Gleizhälse;;;;nomen;;zsugori, fösvény (fn)
;erfolgreich;;;;;adjektive;;sikeres
;zufrieden;;;;;adjektive;;elégedett
;glücklich;;;;;adjektive;;boldog, szerencsés
;harmonisch;;;;;adjektive;;harmónikus
;abenteuerlich;;;;;adjektive;;kalandos
die;Familie;n;;;;nomen;;család
das;Kind;er;;;;nomen;;gyerek
;führen;;führte;h. geführt;führe|führst|führt|führen|führt|führen;verben;;vezet, visel, életvitel
;ertragreichen;;;;;adjektive;;jövedelmezõ
der;Beruf;e;;;;nomen;;foglalkozás, szakma
der;Job;s;;;;nomen;;munka, állás
;finden;;fand;h. gefunden;finde|findest|findet|finden| findet|finden;verben;;találni
die;Arbeit;en;;;;nomen;;állás, feladat
